series,model,MAE,RMSE,MAPE,sMAPE,model_family,AIC,BIC
commercial,Seasonal Naive,3.3948882525000013,3.7648964533062728,2.7776681062193105,2.8256992255750903,Baseline,,
industrial,"SARIMA(1,1,1)(1,1,1,12)",1.4577983000811763,1.6615325364796396,1.6610009435763602,1.6781747508626075,Box-Jenkins,806.4970597173863,827.0467598222747
residential,"SARIMA(1,0,1)(1,1,1,12)",4.330322883437732,5.378049964643332,3.3233868086051594,3.3522489890001403,Box-Jenkins,1392.8356175699569,1413.4116913436835
total,Seasonal Naive,8.120792229166675,10.40016740973052,2.4267362635097083,2.4695383887262548,Baseline,,
transportation,MLP Neural Network Tuned,0.02834488559576491,0.03764503415860245,4.5650577442347595,4.718938556606835,Machine Learning,,
