series,model_family,model,residual_mean,residual_std,residual_min,residual_max,residual_median,ljung_box_pvalue_lag_12,ljung_box_pvalue_lag_23,diagnostic_note
total,Baseline,Seasonal Naive,6.315493695833337,8.440771952847433,-9.175666260000014,27.083883870000022,5.065838680000013,0.09982612845514559,0.16484618059515646,Residuals are calculated as actual minus forecast over the 24-month test period.
residential,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",1.5076928032642325,5.2734231601429995,-7.154620029552518,11.612373094974146,0.01029493123849079,0.00020827290436056106,0.00011379555084492058,Residuals are calculated as actual minus forecast over the 24-month test period.
commercial,Baseline,Seasonal Naive,3.2898340866666675,1.8700672816515345,-1.2606499900000045,7.242468360000004,2.887705105000009,0.27670189556933994,0.20820466513222236,Residuals are calculated as actual minus forecast over the 24-month test period.
industrial,Box-Jenkins,"SARIMA(1,1,1)(1,1,1,12)",1.319078563286362,1.0320374683081255,-0.8640463907088929,3.1981048291027037,1.4527581708653443,0.42205634891133265,0.17246918882545967,Residuals are calculated as actual minus forecast over the 24-month test period.
transportation,Machine Learning,MLP Neural Network Tuned,0.02077934716936221,0.0320657041986817,-0.033711926448680485,0.10162592954745275,0.017104271977715746,0.5360970145063475,0.7606917585134971,Residuals are calculated as actual minus forecast over the 24-month test period.
