date,series,actual
2020-03-01,total,289.89378032
2020-04-01,total,262.40056179
2020-05-01,total,274.7070812
2020-06-01,total,320.05572389
2020-07-01,total,379.53004105
2020-08-01,total,368.88450416999996
2020-09-01,total,322.55451332
2020-10-01,total,296.87657754
2020-11-01,total,277.24920095000004
2020-12-01,total,315.33030203000004
2021-01-01,total,321.49647552
2021-02-01,total,299.69803448
2021-03-01,total,295.34500170999996
2021-04-01,total,272.7786964
2021-05-01,total,290.06060198
2021-06-01,total,338.41538015
2021-07-01,total,373.94829907
2021-08-01,total,381.03930375000004
2021-09-01,total,336.44401046999997
2021-10-01,total,302.12747063
2021-11-01,total,287.13380021
2021-12-01,total,307.3871788
2022-01-01,total,338.65604633
2022-02-01,total,305.86307052
2022-03-01,total,304.30002693
2022-04-01,total,284.93286674
2022-05-01,total,309.69695397
2022-06-01,total,347.10633234
2022-07-01,total,389.21417473
2022-08-01,total,389.6262823
2022-09-01,total,340.54384071000004
2022-10-01,total,297.19594414
2022-11-01,total,292.25774617
2022-12-01,total,327.77578446
2023-01-01,total,325.41464493
2023-02-01,total,292.94566208
2023-03-01,total,306.45394244
2023-04-01,total,280.81114791
2023-05-01,total,298.70556959000004
2023-06-01,total,328.79808364999997
2023-07-01,total,387.25610720000003
2023-08-01,total,392.43603404
2023-09-01,total,346.47644134999996
2023-10-01,total,308.06540868
2023-11-01,total,294.24848557
2023-12-01,total,312.64183476
2024-01-01,total,343.71652172
2024-02-01,total,303.25834281
2024-03-01,total,297.27827618
2024-04-01,total,286.25679709
2024-05-01,total,313.96145312000004
2024-06-01,total,355.88196752
2024-07-01,total,397.87258565999997
2024-08-01,total,394.19946181
2024-09-01,total,343.07070554
2024-10-01,total,315.9019817
2024-11-01,total,295.79604265999996
2024-12-01,total,328.18769582000004
2025-01-01,total,361.98107068
2025-02-01,total,320.56101322999996
2025-03-01,total,307.24125778
2025-04-01,total,294.84637543
2025-05-01,total,312.48873467
2025-06-01,total,357.1003815
2025-07-01,total,407.62971481
2025-08-01,total,392.63089766
