date,series,actual
2003-11-01,industrial,83.16382929
2003-12-01,industrial,82.28751865
2004-01-01,industrial,80.82303868
2004-02-01,industrial,79.66752545
2004-03-01,industrial,83.32752685999999
2004-04-01,industrial,83.36926145000001
2004-05-01,industrial,86.98835387999999
2004-06-01,industrial,86.7322516
2004-07-01,industrial,88.47944389999999
2004-08-01,industrial,89.44028164
2004-09-01,industrial,86.01895583000001
2004-10-01,industrial,85.34579182
2004-11-01,industrial,84.19055194
2004-12-01,industrial,83.46654896
2005-01-01,industrial,82.24165015
2005-02-01,industrial,78.93503840000001
2005-03-01,industrial,83.18468973
2005-04-01,industrial,82.38930273
2005-05-01,industrial,85.85213193
2005-06-01,industrial,88.03296775
2005-07-01,industrial,88.38572227
2005-08-01,industrial,90.53592761
2005-09-01,industrial,87.25604557
2005-10-01,industrial,85.85605478000001
2005-11-01,industrial,83.51220260999999
2005-12-01,industrial,82.97433146
2006-01-01,industrial,81.86464879
2006-02-01,industrial,80.20718278
2006-03-01,industrial,83.26400534
2006-04-01,industrial,81.69637621
2006-05-01,industrial,86.17893081999999
2006-06-01,industrial,86.62984604
2006-07-01,industrial,88.87995233
2006-08-01,industrial,90.28479347999999
2006-09-01,industrial,86.36406714
2006-10-01,industrial,85.33748571
2006-11-01,industrial,80.65308159
2006-12-01,industrial,79.93719578
2007-01-01,industrial,82.38448858999999
2007-02-01,industrial,78.39179387
2007-03-01,industrial,82.58247096999999
2007-04-01,industrial,83.36138391
2007-05-01,industrial,87.24106727
2007-06-01,industrial,87.57206503
2007-07-01,industrial,89.01733579
2007-08-01,industrial,92.11523385000001
2007-09-01,industrial,87.42761386
2007-10-01,industrial,88.8958681
2007-11-01,industrial,85.11805351
2007-12-01,industrial,83.72455026
2008-01-01,industrial,83.09075123
2008-02-01,industrial,81.48431278999999
2008-03-01,industrial,83.49798014
2008-04-01,industrial,83.69560892
2008-05-01,industrial,87.96307225
2008-06-01,industrial,87.2237717
2008-07-01,industrial,88.52680869999999
2008-08-01,industrial,88.55191025
2008-09-01,industrial,85.91035520999999
2008-10-01,industrial,84.16427206
2008-11-01,industrial,79.53865519
2008-12-01,industrial,75.86867965
2009-01-01,industrial,74.98303633
2009-02-01,industrial,71.35800943000001
2009-03-01,industrial,74.17116102
2009-04-01,industrial,73.41509341
2009-05-01,industrial,75.15083707
2009-06-01,industrial,75.68059192999999
2009-07-01,industrial,78.39088288
2009-08-01,industrial,82.19924950999999
2009-09-01,industrial,79.86339097
2009-10-01,industrial,79.45079424000001
2009-11-01,industrial,75.63871671
2009-12-01,industrial,77.11470448
2010-01-01,industrial,75.54890308
2010-02-01,industrial,74.19072741000001
2010-03-01,industrial,78.31908908999999
2010-04-01,industrial,78.62038761999999
2010-05-01,industrial,82.11397190000001
2010-06-01,industrial,83.3597068
2010-07-01,industrial,85.74380968999999
2010-08-01,industrial,87.92706843
2010-09-01,industrial,83.38971461
2010-10-01,industrial,82.08065341
2010-11-01,industrial,79.6138808
2010-12-01,industrial,80.31327654
2011-01-01,industrial,80.09287514
2011-02-01,industrial,76.36123171999999
2011-03-01,industrial,82.20908469
2011-04-01,industrial,80.3672619
2011-05-01,industrial,82.06054846
2011-06-01,industrial,83.91156382
2011-07-01,industrial,87.24710363
2011-08-01,industrial,88.98735194
2011-09-01,industrial,84.94279578
2011-10-01,industrial,84.28172740000001
2011-11-01,industrial,80.8724358
2011-12-01,industrial,79.98158371000001
2012-01-01,industrial,79.20465598
2012-02-01,industrial,78.29827379000001
2012-03-01,industrial,81.29824301000001
2012-04-01,industrial,81.02967493999999
2012-05-01,industrial,84.67764946
2012-06-01,industrial,83.6190094
2012-07-01,industrial,87.21918043
2012-08-01,industrial,88.10463253
2012-09-01,industrial,82.05990033
2012-10-01,industrial,82.99568967
2012-11-01,industrial,78.84734019
2012-12-01,industrial,78.35960426
2013-01-01,industrial,80.50547227
2013-02-01,industrial,76.69204883
2013-03-01,industrial,80.47438927
2013-04-01,industrial,80.21647132
2013-05-01,industrial,84.8969274
2013-06-01,industrial,84.16985683
2013-07-01,industrial,86.88690808999999
2013-08-01,industrial,87.80636831000001
2013-09-01,industrial,83.02499127
2013-10-01,industrial,82.97976639000001
2013-11-01,industrial,79.63157395
2013-12-01,industrial,78.06710006
2014-01-01,industrial,80.14884693
2014-02-01,industrial,75.41326442
2014-03-01,industrial,80.5390692
2014-04-01,industrial,80.50532654999999
2014-05-01,industrial,85.38298728
2014-06-01,industrial,85.71109600000001
2014-07-01,industrial,88.41710031
2014-08-01,industrial,89.80840816000001
2014-09-01,industrial,85.48915774
2014-10-01,industrial,84.99416687
2014-11-01,industrial,81.04419637000001
2014-12-01,industrial,80.12251809
2015-01-01,industrial,79.60899964
2015-02-01,industrial,76.74876531
2015-03-01,industrial,79.709106
2015-04-01,industrial,80.48863267
2015-05-01,industrial,82.91573893
2015-06-01,industrial,86.21770376
2015-07-01,industrial,87.74734656000001
2015-08-01,industrial,88.37307421000001
2015-09-01,industrial,84.7304842
2015-10-01,industrial,83.24883116
2015-11-01,industrial,78.49466844
2015-12-01,industrial,78.22438108
2016-01-01,industrial,78.84786312
2016-02-01,industrial,76.74845904
2016-03-01,industrial,79.23736127
2016-04-01,industrial,78.64672682
2016-05-01,industrial,81.49145601
2016-06-01,industrial,83.67203383
2016-07-01,industrial,87.0763985
2016-08-01,industrial,89.10053838
2016-09-01,industrial,83.25930744
2016-10-01,industrial,81.59727214
2016-11-01,industrial,78.42143195
2016-12-01,industrial,78.61633246000001
2017-01-01,industrial,78.80911338
2017-02-01,industrial,74.53379401
2017-03-01,industrial,80.53022476
2017-04-01,industrial,78.89855775000001
2017-05-01,industrial,83.13447026
2017-06-01,industrial,85.39853828999999
2017-07-01,industrial,87.80613189
2017-08-01,industrial,89.13444287
2017-09-01,industrial,83.54014022
2017-10-01,industrial,82.81513063
2017-11-01,industrial,79.45559181
2017-12-01,industrial,80.24180912
2018-01-01,industrial,79.88979117
2018-02-01,industrial,75.66118887
2018-03-01,industrial,81.05292676
2018-04-01,industrial,79.08341885
2018-05-01,industrial,85.63764703999999
2018-06-01,industrial,85.53624101
2018-07-01,industrial,89.30135668
2018-08-01,industrial,92.10575136
2018-09-01,industrial,85.67899407
2018-10-01,industrial,85.30074348000001
2018-11-01,industrial,81.1183574
2018-12-01,industrial,80.30613626
2019-01-01,industrial,82.60975692
2019-02-01,industrial,76.44726277
2019-03-01,industrial,81.092831
2019-04-01,industrial,80.45975842
2019-05-01,industrial,84.66129301
2019-06-01,industrial,84.99199460000001
2019-07-01,industrial,90.75218668
2019-08-01,industrial,91.06184214999999
2019-09-01,industrial,86.16037695
2019-10-01,industrial,84.39613735
2019-11-01,industrial,79.62466409000001
2019-12-01,industrial,80.0947451
2020-01-01,industrial,80.60851253999999
2020-02-01,industrial,78.90273171
2020-03-01,industrial,80.93061592
2020-04-01,industrial,72.79110205
2020-05-01,industrial,74.27301032
2020-06-01,industrial,78.44467875000001
2020-07-01,industrial,84.75837953999999
2020-08-01,industrial,86.36613013
2020-09-01,industrial,80.97688954
2020-10-01,industrial,82.37138048999999
2020-11-01,industrial,79.16679619
2020-12-01,industrial,79.49180082999999
2021-01-01,industrial,79.74953023
2021-02-01,industrial,74.24526189
2021-03-01,industrial,77.55152192
2021-04-01,industrial,79.66085903999999
2021-05-01,industrial,83.70251056
2021-06-01,industrial,86.70160938
2021-07-01,industrial,91.05225211
2021-08-01,industrial,91.57636666
2021-09-01,industrial,85.81713957
2021-10-01,industrial,85.35596905
2021-11-01,industrial,82.54523505
2021-12-01,industrial,82.65523457
2022-01-01,industrial,83.98200591000001
2022-02-01,industrial,76.89252873000001
2022-03-01,industrial,83.67908978
2022-04-01,industrial,82.42210664
2022-05-01,industrial,86.08969405
2022-06-01,industrial,88.71571321
2022-07-01,industrial,90.41984289
2022-08-01,industrial,93.14314117
2022-09-01,industrial,86.54952268
2022-10-01,industrial,85.017015
2022-11-01,industrial,81.70139939
2022-12-01,industrial,81.85192666
2023-01-01,industrial,80.40796007
2023-02-01,industrial,76.44923685
2023-03-01,industrial,82.81707913
2023-04-01,industrial,80.01106252999999
2023-05-01,industrial,84.70357574
2023-06-01,industrial,86.19314599
2023-07-01,industrial,90.52645351000001
2023-08-01,industrial,92.00870522000001
2023-09-01,industrial,86.47208044
2023-10-01,industrial,85.97838096
2023-11-01,industrial,82.0362777
2023-12-01,industrial,81.65167602
2024-01-01,industrial,82.51733102
2024-02-01,industrial,78.27667916
2024-03-01,industrial,83.1000825
2024-04-01,industrial,82.07805685
2024-05-01,industrial,87.90110025
2024-06-01,industrial,88.44598477
2024-07-01,industrial,92.84760751
2024-08-01,industrial,93.84751156
2024-09-01,industrial,87.91971262999999
2024-10-01,industrial,88.35389142
2024-11-01,industrial,84.36899389
2024-12-01,industrial,84.92723808
2025-01-01,industrial,84.51920513
2025-02-01,industrial,79.22886546
2025-03-01,industrial,83.21047831
2025-04-01,industrial,84.53589711000001
2025-05-01,industrial,87.13443661999999
2025-06-01,industrial,90.0223073
2025-07-01,industrial,94.65130475
2025-08-01,industrial,94.53972875
2025-09-01,industrial,89.0411248
2025-10-01,industrial,88.00445672000001
2025-11-01,industrial,82.42232752999999
2025-12-01,industrial,84.9067827
2026-01-01,industrial,84.04272160000001
2026-02-01,industrial,78.653492
2003-01-01,transportation,0.60421285
2003-02-01,transportation,0.54671623
2003-03-01,transportation,0.57409995
2003-04-01,transportation,0.5194271199999999
2003-05-01,transportation,0.5457222
2003-06-01,transportation,0.54701152
2003-07-01,transportation,0.5696157
2003-08-01,transportation,0.59077732
2003-09-01,transportation,0.58622955
2003-10-01,transportation,0.58137995
2003-11-01,transportation,0.54944757
2003-12-01,transportation,0.59508803
2004-01-01,transportation,0.63094024
2004-02-01,transportation,0.62430825
2004-03-01,transportation,0.57594342
2004-04-01,transportation,0.57303741
2004-05-01,transportation,0.56997463
2004-06-01,transportation,0.5827162899999999
2004-07-01,transportation,0.6268298499999999
2004-08-01,transportation,0.61041299
2004-09-01,transportation,0.61388888
2004-10-01,transportation,0.59892905
2004-11-01,transportation,0.5699702200000001
2004-12-01,transportation,0.64669078
2005-01-01,transportation,0.68714973
2005-02-01,transportation,0.65522785
2005-03-01,transportation,0.61754956
2005-04-01,transportation,0.5899791400000001
2005-05-01,transportation,0.5623826900000001
2005-06-01,transportation,0.6197881599999999
2005-07-01,transportation,0.61504819
2005-08-01,transportation,0.6668227000000001
2005-09-01,transportation,0.63482889
2005-10-01,transportation,0.60999136
2005-11-01,transportation,0.58744449
2005-12-01,transportation,0.6601082300000001
2006-01-01,transportation,0.6491311
2006-02-01,transportation,0.61498261
2006-03-01,transportation,0.63561536
2006-04-01,transportation,0.58667238
2006-05-01,transportation,0.57727041
2006-06-01,transportation,0.60931288
2006-07-01,transportation,0.6273047900000001
2006-08-01,transportation,0.6298231500000001
2006-09-01,transportation,0.61529504
2006-10-01,transportation,0.60238721
2006-11-01,transportation,0.5823713
2006-12-01,transportation,0.6273767699999999
2007-01-01,transportation,0.765596
2007-02-01,transportation,0.71884294
2007-03-01,transportation,0.74296966
2007-04-01,transportation,0.64587116
2007-05-01,transportation,0.61144662
2007-06-01,transportation,0.6650218999999999
2007-07-01,transportation,0.6748639399999999
2007-08-01,transportation,0.6734157000000001
2007-09-01,transportation,0.68654152
2007-10-01,transportation,0.65165092
2007-11-01,transportation,0.67316022
2007-12-01,transportation,0.66321441
2008-01-01,transportation,0.69409968
2008-02-01,transportation,0.66009922
2008-03-01,transportation,0.63024222
2008-04-01,transportation,0.61446408
2008-05-01,transportation,0.5938707799999999
2008-06-01,transportation,0.61988923
2008-07-01,transportation,0.6485722899999999
2008-08-01,transportation,0.64895218
2008-09-01,transportation,0.6288729200000001
2008-10-01,transportation,0.63749879
2008-11-01,transportation,0.6105736500000001
2008-12-01,transportation,0.66607597
2009-01-01,transportation,0.76898325
2009-02-01,transportation,0.6705448300000001
2009-03-01,transportation,0.6772100000000001
2009-04-01,transportation,0.61323046
2009-05-01,transportation,0.6011520699999999
2009-06-01,transportation,0.612614
2009-07-01,transportation,0.6662002300000001
2009-08-01,transportation,0.64653414
2009-09-01,transportation,0.63630455
2009-10-01,transportation,0.59984432
2009-11-01,transportation,0.58989847
2009-12-01,transportation,0.68547269
2010-01-01,transportation,0.70947872
2010-02-01,transportation,0.68182363
2010-03-01,transportation,0.65092031
2010-04-01,transportation,0.59494531
2010-05-01,transportation,0.6001869000000001
2010-06-01,transportation,0.6525251799999999
2010-07-01,transportation,0.6612312899999999
2010-08-01,transportation,0.62248808
2010-09-01,transportation,0.6331667200000001
2010-10-01,transportation,0.61030565
2010-11-01,transportation,0.60111287
2010-12-01,transportation,0.69422735
2011-01-01,transportation,0.71045712
2011-02-01,transportation,0.6367588399999999
2011-03-01,transportation,0.66359308
2011-04-01,transportation,0.6287612
2011-05-01,transportation,0.61856678
2011-06-01,transportation,0.64280896
2011-07-01,transportation,0.65045662
2011-08-01,transportation,0.62526534
2011-09-01,transportation,0.63361555
2011-10-01,transportation,0.61647655
2011-11-01,transportation,0.58981212
2011-12-01,transportation,0.65551185
2012-01-01,transportation,0.6499346500000001
2012-02-01,transportation,0.62916958
2012-03-01,transportation,0.5968550699999999
2012-04-01,transportation,0.5900103299999999
2012-05-01,transportation,0.5949550100000001
2012-06-01,transportation,0.59733701
2012-07-01,transportation,0.62914179
2012-08-01,transportation,0.63262365
2012-09-01,transportation,0.61349482
2012-10-01,transportation,0.5993248999999999
2012-11-01,transportation,0.5686123599999999
2012-12-01,transportation,0.6185688300000001
2013-01-01,transportation,0.66387257
2013-02-01,transportation,0.65879547
2013-03-01,transportation,0.64355762
2013-04-01,transportation,0.62964361
2013-05-01,transportation,0.62730152
2013-06-01,transportation,0.63828534
2013-07-01,transportation,0.64869528
2013-08-01,transportation,0.64488154
2013-09-01,transportation,0.62592764
2013-10-01,transportation,0.590856
2013-11-01,transportation,0.5742554
2013-12-01,transportation,0.67896903
2014-01-01,transportation,0.71205817
2014-02-01,transportation,0.69986812
2014-03-01,transportation,0.64842777
2014-04-01,transportation,0.63967552
2014-05-01,transportation,0.64556501
2014-06-01,transportation,0.60931684
2014-07-01,transportation,0.6447678499999999
2014-08-01,transportation,0.64178362
2014-09-01,transportation,0.62780336
2014-10-01,transportation,0.62483276
2014-11-01,transportation,0.63714582
2014-12-01,transportation,0.62631019
2015-01-01,transportation,0.6728044200000001
2015-02-01,transportation,0.6994778700000001
2015-03-01,transportation,0.67946898
2015-04-01,transportation,0.61950291
2015-05-01,transportation,0.60877392
2015-06-01,transportation,0.60931936
2015-07-01,transportation,0.6481764799999999
2015-08-01,transportation,0.6246268
2015-09-01,transportation,0.6153184
2015-10-01,transportation,0.63598012
2015-11-01,transportation,0.6038716500000001
2015-12-01,transportation,0.6193111
2016-01-01,transportation,0.65997696
2016-02-01,transportation,0.64618955
2016-03-01,transportation,0.60924388
2016-04-01,transportation,0.5950414500000001
2016-05-01,transportation,0.5812636099999999
2016-06-01,transportation,0.63135884
2016-07-01,transportation,0.64822444
2016-08-01,transportation,0.6314253200000001
2016-09-01,transportation,0.6370232600000001
2016-10-01,transportation,0.61261593
2016-11-01,transportation,0.59158965
2016-12-01,transportation,0.65295709
2017-01-01,transportation,0.6671804499999999
2017-02-01,transportation,0.63517024
2017-03-01,transportation,0.6450277099999999
2017-04-01,transportation,0.5890465
2017-05-01,transportation,0.58280876
2017-06-01,transportation,0.6277519300000001
2017-07-01,transportation,0.6297849
2017-08-01,transportation,0.64000189
2017-09-01,transportation,0.6181285599999999
2017-10-01,transportation,0.62611367
2017-11-01,transportation,0.5977432300000001
2017-12-01,transportation,0.6638351800000001
2018-01-01,transportation,0.7452533
2018-02-01,transportation,0.6343678700000001
2018-03-01,transportation,0.61960382
2018-04-01,transportation,0.59947348
2018-05-01,transportation,0.5868789000000001
2018-06-01,transportation,0.6226698199999999
2018-07-01,transportation,0.63444822
2018-08-01,transportation,0.68031361
2018-09-01,transportation,0.64028363
2018-10-01,transportation,0.6307493200000001
2018-11-01,transportation,0.61567378
2018-12-01,transportation,0.65508826
2019-01-01,transportation,0.66955571
2019-02-01,transportation,0.6715494700000001
2019-03-01,transportation,0.68624725
2019-04-01,transportation,0.61031785
2019-05-01,transportation,0.60841917
2019-06-01,transportation,0.60841339
2019-07-01,transportation,0.64229241
2019-08-01,transportation,0.65301553
2019-09-01,transportation,0.6765468499999999
2019-10-01,transportation,0.54295726
2019-11-01,transportation,0.61444177
2019-12-01,transportation,0.64839337
2020-01-01,transportation,0.66987033
2020-02-01,transportation,0.6190225
2020-03-01,transportation,0.59837845
2020-04-01,transportation,0.44448431
2020-05-01,transportation,0.45396491
2020-06-01,transportation,0.48027467
2020-07-01,transportation,0.55603878
2020-08-01,transportation,0.5223424099999999
2020-09-01,transportation,0.53398806
2020-10-01,transportation,0.52307241
2020-11-01,transportation,0.52484819
2020-12-01,transportation,0.621539
2021-01-01,transportation,0.56694665
2021-02-01,transportation,0.5475379
2021-03-01,transportation,0.54226531
2021-04-01,transportation,0.50557828
2021-05-01,transportation,0.48658841
2021-06-01,transportation,0.50759398
2021-07-01,transportation,0.54574121
2021-08-01,transportation,0.56004372
2021-09-01,transportation,0.5268836
2021-10-01,transportation,0.53281177
2021-11-01,transportation,0.49152045
2021-12-01,transportation,0.5208717199999999
2022-01-01,transportation,0.56488069
2022-02-01,transportation,0.56561781
2022-03-01,transportation,0.57920961
2022-04-01,transportation,0.5130446200000001
2022-05-01,transportation,0.52931719
2022-06-01,transportation,0.51315962
2022-07-01,transportation,0.5660426
2022-08-01,transportation,0.5357216100000001
2022-09-01,transportation,0.55772454
2022-10-01,transportation,0.53538043
2022-11-01,transportation,0.54630602
2022-12-01,transportation,0.59270327
2023-01-01,transportation,0.57922547
2023-02-01,transportation,0.56096018
2023-03-01,transportation,0.57697647
2023-04-01,transportation,0.51346136
2023-05-01,transportation,0.52876348
2023-06-01,transportation,0.5787424999999999
2023-07-01,transportation,0.62061753
2023-08-01,transportation,0.57756501
2023-09-01,transportation,0.65156712
2023-10-01,transportation,0.5654009
2023-11-01,transportation,0.54913729
2023-12-01,transportation,0.56137171
2024-01-01,transportation,0.61165804
2024-02-01,transportation,0.53780578
2024-03-01,transportation,0.59283502
2024-04-01,transportation,0.53222419
2024-05-01,transportation,0.59194918
2024-06-01,transportation,0.5664699799999999
2024-07-01,transportation,0.64072436
2024-08-01,transportation,0.62126288
2024-09-01,transportation,0.5626499199999999
2024-10-01,transportation,0.56610619
2024-11-01,transportation,0.55436138
2024-12-01,transportation,0.60479308
2025-01-01,transportation,0.68592404
2025-02-01,transportation,0.6104037499999999
2025-03-01,transportation,0.63515248
2025-04-01,transportation,0.5685728800000001
2025-05-01,transportation,0.55583501
2025-06-01,transportation,0.6669497400000001
2025-07-01,transportation,0.6046136400000001
2025-08-01,transportation,0.62462478
2025-09-01,transportation,0.59244137
2025-10-01,transportation,0.5903361
2025-11-01,transportation,0.55545566
2025-12-01,transportation,0.62060801
2026-01-01,transportation,0.66277807
2026-02-01,transportation,0.63485287
